product_id,supplier_name,origin_location,destination,quantity,dispatch_date,expected_date,actual_date,carrier_type,status
PROD-648564,Tokyo Logistics Co,Tokyo Port,Bengaluru Hub,864,4/10/2026 0:03,4/19/2026 0:03,4/19/2026 0:03,Sea Freight,Delivered
PROD-379201,Nagoya Auto Parts,Tokyo Port,Bengaluru Hub,3204,4/30/2026 11:21,5/7/2026 11:21,5/6/2026 11:21,Sea Freight,Delivered
PROD-738797,Nagoya Auto Parts,Yokohama Port,Bengaluru Hub,2530,1/7/2026 22:37,1/18/2026 22:37,1/17/2026 22:37,Sea Freight,Delivered
PROD-693384,Osaka Freight Corp,Tokyo Port,Bengaluru Hub,4885,7/6/2025 11:24,7/11/2025 11:24,7/9/2025 11:24,Air Cargo,Delivered
PROD-303445,Tokyo Logistics Co,Yokohama Port,Bengaluru Hub,4974,9/2/2025 7:24,9/15/2025 7:24,9/13/2025 7:24,Sea Freight,Delivered
PROD-896865,Kyoto Tech Components,Tokyo Port,Bengaluru Hub,3534,6/5/2026 21:55,6/20/2026 21:55,6/19/2026 21:55,Express Road,Delivered
PROD-105907,Kyoto Tech Components,Osaka Port,Bengaluru Hub,2275,9/4/2025 2:17,9/18/2025 2:17,9/17/2025 2:17,Air Cargo,Delivered
PROD-475435,Tokyo Logistics Co,Tokyo Port,Chennai Port,4712,10/27/2025 21:47,11/3/2025 21:47,11/2/2025 21:47,Sea Freight,Delivered
PROD-382554,Osaka Freight Corp,Tokyo Port,Bengaluru Hub,3127,1/29/2026 5:57,2/4/2026 5:57,2/2/2026 5:57,Air Cargo,Delivered
PROD-372528,Tokyo Logistics Co,Osaka Port,Bengaluru Hub,1200,8/9/2025 11:29,8/16/2025 11:29,8/14/2025 11:29,Air Cargo,Delivered
PROD-279946,Osaka Freight Corp,Osaka Port,Bengaluru Hub,2908,8/26/2025 14:11,9/1/2025 14:11,8/30/2025 14:11,Sea Freight,Delivered
PROD-716751,Osaka Freight Corp,Tokyo Port,Bengaluru Hub,3569,2/22/2026 9:41,3/9/2026 9:41,3/8/2026 9:41,Air Cargo,Delivered
PROD-638720,Osaka Freight Corp,Yokohama Port,Chennai Port,4619,2/2/2026 18:13,2/7/2026 18:13,2/12/2026 18:13,Express Road,Delayed
PROD-560086,Kyoto Tech Components,Tokyo Port,Chennai Port,4871,1/28/2026 23:46,2/8/2026 23:46,2/8/2026 23:46,Express Road,Delivered
PROD-171339,Tokyo Logistics Co,Osaka Port,Bengaluru Hub,2144,3/4/2026 9:03,3/11/2026 9:03,3/11/2026 9:03,Express Road,Delivered
PROD-283060,Nagoya Auto Parts,Yokohama Port,Bengaluru Hub,1431,11/26/2025 21:45,12/2/2025 21:45,11/30/2025 21:45,Sea Freight,Delivered
PROD-671088,Nagoya Auto Parts,Yokohama Port,Chennai Port,1404,6/7/2026 11:37,6/18/2026 11:37,6/26/2026 11:37,Express Road,Delayed
PROD-230283,Kyoto Tech Components,Yokohama Port,Chennai Port,2964,2/17/2026 9:57,2/23/2026 9:57,2/23/2026 9:57,Air Cargo,Delivered
PROD-883794,Osaka Freight Corp,Osaka Port,Bengaluru Hub,2386,2/16/2026 2:51,2/24/2026 2:51,2/22/2026 2:51,Air Cargo,Delivered
PROD-58655,Osaka Freight Corp,Tokyo Port,Bengaluru Hub,2239,3/18/2026 16:33,4/2/2026 16:33,3/31/2026 16:33,Sea Freight,Delivered
PROD-33659,Nagoya Auto Parts,Osaka Port,Chennai Port,3674,9/2/2025 17:28,9/16/2025 17:28,NaT,Express Road,In-Transit
PROD-420651,Nagoya Auto Parts,Tokyo Port,Bengaluru Hub,3083,4/1/2026 2:32,4/14/2026 2:32,4/20/2026 2:32,Air Cargo,Delayed
PROD-221231,Tokyo Logistics Co,Osaka Port,Chennai Port,3445,9/16/2025 20:39,9/22/2025 20:39,9/21/2025 20:39,Air Cargo,Delivered
PROD-594731,Nagoya Auto Parts,Nagoya Airport,Bengaluru Hub,4762,5/10/2026 14:02,5/21/2026 14:02,5/19/2026 14:02,Air Cargo,Delivered
PROD-329963,Kyoto Tech Components,Nagoya Airport,Chennai Port,3909,4/27/2026 3:43,5/8/2026 3:43,5/8/2026 3:43,Air Cargo,Delivered
PROD-523481,Kyoto Tech Components,Tokyo Port,Chennai Port,4322,8/27/2025 17:32,9/8/2025 17:32,9/6/2025 17:32,Express Road,Delivered
PROD-958972,Kyoto Tech Components,Osaka Port,Bengaluru Hub,1731,11/2/2025 13:42,11/17/2025 13:42,11/17/2025 13:42,Sea Freight,Delivered
PROD-149811,Tokyo Logistics Co,Nagoya Airport,Chennai Port,4815,1/31/2026 20:47,2/5/2026 20:47,2/15/2026 20:47,Sea Freight,Delayed
PROD-258607,Tokyo Logistics Co,Tokyo Port,Chennai Port,1892,9/15/2025 19:34,9/26/2025 19:34,9/26/2025 19:34,Sea Freight,Delivered
PROD-565158,Tokyo Logistics Co,Nagoya Airport,Bengaluru Hub,3906,3/10/2026 4:05,3/23/2026 4:05,3/21/2026 4:05,Express Road,Delivered
PROD-612982,Nagoya Auto Parts,Nagoya Airport,Chennai Port,1403,9/15/2025 0:49,9/28/2025 0:49,9/26/2025 0:49,Express Road,Delivered
PROD-611878,Osaka Freight Corp,Nagoya Airport,Bengaluru Hub,2349,11/14/2025 13:15,11/26/2025 13:15,11/26/2025 13:15,Air Cargo,Delivered
PROD-229974,Osaka Freight Corp,Tokyo Port,Bengaluru Hub,1335,11/3/2025 22:45,11/9/2025 22:45,11/9/2025 22:45,Sea Freight,Delivered
PROD-145051,Nagoya Auto Parts,Nagoya Airport,Chennai Port,4545,6/10/2026 8:01,6/21/2026 8:01,6/19/2026 8:01,Air Cargo,Delivered
PROD-95325,Tokyo Logistics Co,Nagoya Airport,Chennai Port,148,12/14/2025 4:05,12/25/2025 4:05,1/3/2026 4:05,Air Cargo,Delayed
PROD-902931,Kyoto Tech Components,Nagoya Airport,Bengaluru Hub,2335,3/14/2026 2:42,3/23/2026 2:42,3/22/2026 2:42,Air Cargo,Delivered
PROD-657924,Nagoya Auto Parts,Yokohama Port,Chennai Port,1145,7/21/2025 2:51,8/2/2025 2:51,8/10/2025 2:51,Express Road,Delayed
PROD-713536,Tokyo Logistics Co,Tokyo Port,Chennai Port,1211,8/8/2025 12:03,8/21/2025 12:03,8/30/2025 12:03,Air Cargo,Delayed
PROD-66613,Nagoya Auto Parts,Osaka Port,Chennai Port,3205,11/12/2025 6:15,11/19/2025 6:15,11/28/2025 6:15,Air Cargo,Delayed
PROD-624834,Tokyo Logistics Co,Osaka Port,Bengaluru Hub,662,10/29/2025 14:28,11/9/2025 14:28,11/9/2025 14:28,Express Road,Delivered
PROD-554816,Tokyo Logistics Co,Yokohama Port,Bengaluru Hub,1134,6/9/2026 21:27,6/14/2026 21:27,6/14/2026 21:27,Air Cargo,Delivered
PROD-580099,Osaka Freight Corp,Osaka Port,Bengaluru Hub,1038,9/10/2025 21:32,9/25/2025 21:32,10/1/2025 21:32,Sea Freight,Delayed
PROD-12038,Nagoya Auto Parts,Nagoya Airport,Bengaluru Hub,722,4/21/2026 11:05,4/30/2026 11:05,5/3/2026 11:05,Express Road,Delayed
PROD-120116,Tokyo Logistics Co,Tokyo Port,Chennai Port,4464,2/14/2026 12:54,3/1/2026 12:54,2/27/2026 12:54,Air Cargo,Delivered
PROD-563054,Tokyo Logistics Co,Nagoya Airport,Chennai Port,964,2/15/2026 1:24,3/2/2026 1:24,2/28/2026 1:24,Air Cargo,Delivered
PROD-805934,Nagoya Auto Parts,Yokohama Port,Chennai Port,4508,3/12/2026 7:43,3/22/2026 7:43,3/21/2026 7:43,Air Cargo,Delivered
PROD-116970,Osaka Freight Corp,Yokohama Port,Bengaluru Hub,2384,1/31/2026 4:13,2/12/2026 4:13,2/10/2026 4:13,Air Cargo,Delivered
PROD-165840,Nagoya Auto Parts,Osaka Port,Bengaluru Hub,4149,9/26/2025 6:27,10/4/2025 6:27,10/2/2025 6:27,Air Cargo,Delivered
PROD-757168,Osaka Freight Corp,Osaka Port,Chennai Port,4653,11/23/2025 18:56,11/30/2025 18:56,11/29/2025 18:56,Sea Freight,Delivered
PROD-276183,Nagoya Auto Parts,Nagoya Airport,Bengaluru Hub,4000,4/26/2026 23:13,5/9/2026 23:13,5/9/2026 23:13,Express Road,Delivered
PROD-798975,Kyoto Tech Components,Nagoya Airport,Bengaluru Hub,2608,6/1/2026 1:02,6/13/2026 1:02,6/13/2026 1:02,Express Road,Delivered
PROD-956959,Nagoya Auto Parts,Osaka Port,Chennai Port,3817,8/15/2025 7:43,8/29/2025 7:43,8/27/2025 7:43,Air Cargo,Delivered
PROD-655674,Osaka Freight Corp,Tokyo Port,Bengaluru Hub,1669,7/19/2025 22:28,7/28/2025 22:28,7/28/2025 22:28,Sea Freight,Delivered
PROD-669987,Osaka Freight Corp,Tokyo Port,Bengaluru Hub,2526,9/28/2025 1:47,10/10/2025 1:47,10/8/2025 1:47,Sea Freight,Delivered
PROD-208573,Kyoto Tech Components,Osaka Port,Bengaluru Hub,546,12/13/2025 11:45,12/23/2025 11:45,12/26/2025 11:45,Express Road,Delayed
PROD-799550,Nagoya Auto Parts,Tokyo Port,Bengaluru Hub,4802,8/5/2025 21:27,8/14/2025 21:27,8/14/2025 21:27,Air Cargo,Delivered
PROD-999816,Tokyo Logistics Co,Osaka Port,Chennai Port,1034,8/9/2025 1:48,8/21/2025 1:48,8/20/2025 1:48,Sea Freight,Delivered
PROD-556116,Tokyo Logistics Co,Yokohama Port,Bengaluru Hub,4710,3/22/2026 10:57,4/2/2026 10:57,3/31/2026 10:57,Air Cargo,Delivered
PROD-628038,Nagoya Auto Parts,Yokohama Port,Chennai Port,3790,5/12/2026 12:59,5/18/2026 12:59,5/18/2026 12:59,Air Cargo,Delivered
PROD-20422,Tokyo Logistics Co,Tokyo Port,Bengaluru Hub,1828,10/7/2025 11:10,10/16/2025 11:10,10/15/2025 11:10,Air Cargo,Delivered
PROD-380612,Tokyo Logistics Co,Yokohama Port,Bengaluru Hub,3446,7/21/2025 22:18,8/5/2025 22:18,8/11/2025 22:18,Air Cargo,Delayed
PROD-872064,Osaka Freight Corp,Nagoya Airport,Bengaluru Hub,2012,4/28/2026 0:22,5/12/2026 0:22,5/12/2026 0:22,Air Cargo,Delivered
PROD-251083,Kyoto Tech Components,Yokohama Port,Chennai Port,1265,4/1/2026 17:41,4/16/2026 17:41,4/16/2026 17:41,Sea Freight,Delivered
PROD-920659,Osaka Freight Corp,Nagoya Airport,Bengaluru Hub,3939,7/2/2025 5:27,7/7/2025 5:27,7/14/2025 5:27,Express Road,Delayed
PROD-82582,Nagoya Auto Parts,Nagoya Airport,Bengaluru Hub,4999,1/4/2026 7:01,1/13/2026 7:01,1/12/2026 7:01,Sea Freight,Delivered
PROD-509597,Tokyo Logistics Co,Yokohama Port,Bengaluru Hub,2307,7/12/2025 8:31,7/23/2025 8:31,7/21/2025 8:31,Express Road,Delivered
PROD-797549,Nagoya Auto Parts,Osaka Port,Bengaluru Hub,4895,4/5/2026 2:45,4/10/2026 2:45,4/10/2026 2:45,Air Cargo,Delivered
PROD-131869,Nagoya Auto Parts,Osaka Port,Chennai Port,956,12/22/2025 15:16,1/6/2026 15:16,1/6/2026 15:16,Sea Freight,Delivered
PROD-498369,Nagoya Auto Parts,Tokyo Port,Chennai Port,821,7/27/2025 23:09,8/6/2025 23:09,8/5/2025 23:09,Air Cargo,Delivered
PROD-173148,Tokyo Logistics Co,Nagoya Airport,Chennai Port,544,5/22/2026 21:33,5/31/2026 21:33,5/30/2026 21:33,Sea Freight,Delivered
PROD-914812,Tokyo Logistics Co,Yokohama Port,Chennai Port,4599,9/15/2025 21:07,9/28/2025 21:07,9/27/2025 21:07,Sea Freight,Delivered
PROD-222086,Tokyo Logistics Co,Yokohama Port,Bengaluru Hub,2645,1/18/2026 14:57,1/27/2026 14:57,1/25/2026 14:57,Express Road,Delivered
PROD-791952,Tokyo Logistics Co,Nagoya Airport,Bengaluru Hub,1361,5/16/2026 8:20,5/21/2026 8:20,5/21/2026 8:20,Air Cargo,Delivered
PROD-210922,Nagoya Auto Parts,Nagoya Airport,Bengaluru Hub,3841,3/4/2026 16:06,3/13/2026 16:06,3/12/2026 16:06,Express Road,Delivered
PROD-418373,Kyoto Tech Components,Tokyo Port,Chennai Port,3499,2/26/2026 11:14,3/5/2026 11:14,3/3/2026 11:14,Air Cargo,Delivered
PROD-681446,Osaka Freight Corp,Nagoya Airport,Bengaluru Hub,3758,6/9/2026 12:56,6/22/2026 12:56,6/22/2026 12:56,Express Road,Delivered
PROD-943313,Nagoya Auto Parts,Nagoya Airport,Chennai Port,1645,10/25/2025 11:01,11/6/2025 11:01,11/4/2025 11:01,Express Road,Delivered
PROD-126882,Nagoya Auto Parts,Tokyo Port,Chennai Port,3974,12/17/2025 2:38,12/25/2025 2:38,12/25/2025 2:38,Express Road,Delivered
PROD-67136,Kyoto Tech Components,Nagoya Airport,Bengaluru Hub,1134,9/9/2025 14:47,9/20/2025 14:47,9/18/2025 14:47,Express Road,Delivered
PROD-616886,Nagoya Auto Parts,Tokyo Port,Chennai Port,225,10/12/2025 13:16,10/26/2025 13:16,10/26/2025 13:16,Express Road,Delivered
PROD-617024,Tokyo Logistics Co,Nagoya Airport,Chennai Port,2873,12/30/2025 9:14,1/6/2026 9:14,1/4/2026 9:14,Express Road,Delivered
PROD-74441,Nagoya Auto Parts,Osaka Port,Chennai Port,4532,8/30/2025 12:04,9/10/2025 12:04,9/9/2025 12:04,Sea Freight,Delivered
PROD-61733,Tokyo Logistics Co,Nagoya Airport,Bengaluru Hub,923,2/24/2026 14:27,3/10/2026 14:27,3/17/2026 14:27,Air Cargo,Delayed
PROD-949401,Tokyo Logistics Co,Osaka Port,Chennai Port,3170,9/2/2025 16:33,9/9/2025 16:33,NaT,Air Cargo,In-Transit
PROD-346479,Kyoto Tech Components,Yokohama Port,Bengaluru Hub,746,6/22/2025 13:03,6/29/2025 13:03,6/28/2025 13:03,Express Road,Delivered
PROD-249565,Kyoto Tech Components,Yokohama Port,Chennai Port,2180,7/6/2025 22:49,7/17/2025 22:49,7/17/2025 22:49,Air Cargo,Delivered
PROD-508993,Kyoto Tech Components,Tokyo Port,Chennai Port,2930,9/20/2025 18:46,9/29/2025 18:46,9/28/2025 18:46,Express Road,Delivered
PROD-138739,Nagoya Auto Parts,Osaka Port,Bengaluru Hub,3251,8/28/2025 7:39,9/6/2025 7:39,9/5/2025 7:39,Air Cargo,Delivered
PROD-925245,Osaka Freight Corp,Osaka Port,Bengaluru Hub,3342,3/2/2026 6:26,3/8/2026 6:26,3/6/2026 6:26,Air Cargo,Delivered
PROD-495631,Tokyo Logistics Co,Nagoya Airport,Chennai Port,1985,1/5/2026 15:19,1/10/2026 15:19,1/8/2026 15:19,Express Road,Delivered
PROD-495948,Kyoto Tech Components,Tokyo Port,Bengaluru Hub,2630,9/7/2025 19:45,9/17/2025 19:45,9/17/2025 19:45,Air Cargo,Delivered
PROD-199659,Osaka Freight Corp,Osaka Port,Chennai Port,1538,4/2/2026 0:01,4/7/2026 0:01,4/5/2026 0:01,Sea Freight,Delivered
PROD-690993,Osaka Freight Corp,Yokohama Port,Chennai Port,4047,7/15/2025 12:32,7/22/2025 12:32,7/21/2025 12:32,Air Cargo,Delivered
PROD-444154,Kyoto Tech Components,Yokohama Port,Chennai Port,4665,11/15/2025 12:11,11/25/2025 12:11,11/24/2025 12:11,Air Cargo,Delivered
PROD-905798,Tokyo Logistics Co,Nagoya Airport,Chennai Port,2247,11/8/2025 5:19,11/14/2025 5:19,11/14/2025 5:19,Express Road,Delivered
PROD-706073,Kyoto Tech Components,Nagoya Airport,Bengaluru Hub,4699,3/4/2026 8:36,3/15/2026 8:36,3/14/2026 8:36,Air Cargo,Delivered
PROD-677568,Nagoya Auto Parts,Osaka Port,Chennai Port,1055,2/4/2026 17:44,2/18/2026 17:44,2/18/2026 17:44,Sea Freight,Delivered
PROD-422179,Tokyo Logistics Co,Tokyo Port,Bengaluru Hub,4503,7/17/2025 0:24,7/22/2025 0:24,7/21/2025 0:24,Sea Freight,Delivered
PROD-839482,Nagoya Auto Parts,Yokohama Port,Chennai Port,911,3/4/2026 1:02,3/15/2026 1:02,3/13/2026 1:02,Air Cargo,Delivered
PROD-260735,Osaka Freight Corp,Yokohama Port,Chennai Port,3742,4/21/2026 18:55,5/5/2026 18:55,NaT,Sea Freight,In-Transit
PROD-562336,Osaka Freight Corp,Tokyo Port,Chennai Port,2360,8/20/2025 1:08,8/30/2025 1:08,9/7/2025 1:08,Sea Freight,Delayed
PROD-442374,Kyoto Tech Components,Tokyo Port,Bengaluru Hub,2832,11/21/2025 22:08,11/27/2025 22:08,11/26/2025 22:08,Sea Freight,Delivered
PROD-485100,Kyoto Tech Components,Yokohama Port,Bengaluru Hub,2791,8/17/2025 2:06,8/24/2025 2:06,8/24/2025 2:06,Sea Freight,Delivered
PROD-968114,Osaka Freight Corp,Yokohama Port,Bengaluru Hub,311,9/10/2025 7:26,9/24/2025 7:26,9/29/2025 7:26,Sea Freight,Delayed
PROD-847272,Tokyo Logistics Co,Yokohama Port,Chennai Port,529,7/8/2025 14:30,7/13/2025 14:30,7/13/2025 14:30,Sea Freight,Delivered
PROD-577057,Nagoya Auto Parts,Osaka Port,Bengaluru Hub,3802,4/21/2026 16:04,5/2/2026 16:04,4/30/2026 16:04,Express Road,Delivered
PROD-683823,Osaka Freight Corp,Nagoya Airport,Bengaluru Hub,598,7/16/2025 19:56,7/24/2025 19:56,7/24/2025 19:56,Air Cargo,Delivered
PROD-876638,Nagoya Auto Parts,Tokyo Port,Bengaluru Hub,2738,6/11/2026 1:10,6/22/2026 1:10,6/22/2026 1:10,Express Road,Delivered
PROD-97793,Osaka Freight Corp,Nagoya Airport,Chennai Port,3816,6/16/2025 11:03,6/23/2025 11:03,6/30/2025 11:03,Express Road,Delayed
PROD-889921,Kyoto Tech Components,Nagoya Airport,Chennai Port,1971,5/15/2026 10:00,5/29/2026 10:00,5/27/2026 10:00,Air Cargo,Delivered
PROD-426156,Tokyo Logistics Co,Osaka Port,Chennai Port,2660,9/5/2025 9:44,9/15/2025 9:44,9/14/2025 9:44,Express Road,Delivered
PROD-224130,Nagoya Auto Parts,Tokyo Port,Bengaluru Hub,799,12/5/2025 10:42,12/14/2025 10:42,12/14/2025 10:42,Sea Freight,Delivered
PROD-946279,Tokyo Logistics Co,Osaka Port,Bengaluru Hub,3465,4/22/2026 21:01,5/3/2026 21:01,5/11/2026 21:01,Air Cargo,Delayed
PROD-397382,Tokyo Logistics Co,Osaka Port,Chennai Port,2980,7/2/2025 11:41,7/17/2025 11:41,7/16/2025 11:41,Sea Freight,Delivered
PROD-409386,Kyoto Tech Components,Tokyo Port,Chennai Port,4656,6/11/2025 20:35,6/25/2025 20:35,6/25/2025 20:35,Air Cargo,Delivered
PROD-822157,Nagoya Auto Parts,Tokyo Port,Chennai Port,337,9/15/2025 22:24,9/21/2025 22:24,9/19/2025 22:24,Sea Freight,Delivered
PROD-299105,Osaka Freight Corp,Tokyo Port,Bengaluru Hub,1273,3/24/2026 19:57,4/2/2026 19:57,4/1/2026 19:57,Express Road,Delivered
PROD-765990,Tokyo Logistics Co,Tokyo Port,Bengaluru Hub,3181,11/12/2025 13:41,11/27/2025 13:41,11/27/2025 13:41,Air Cargo,Delivered
PROD-582765,Osaka Freight Corp,Tokyo Port,Bengaluru Hub,1374,6/9/2026 15:20,6/21/2026 15:20,6/20/2026 15:20,Sea Freight,Delivered
PROD-510311,Nagoya Auto Parts,Nagoya Airport,Chennai Port,3492,2/7/2026 19:30,2/21/2026 19:30,2/25/2026 19:30,Air Cargo,Delayed
PROD-311120,Tokyo Logistics Co,Osaka Port,Chennai Port,4416,8/6/2025 14:36,8/14/2025 14:36,8/14/2025 14:36,Express Road,Delivered
PROD-61324,Tokyo Logistics Co,Tokyo Port,Bengaluru Hub,2569,8/29/2025 14:00,9/7/2025 14:00,9/16/2025 14:00,Sea Freight,Delayed
PROD-568532,Tokyo Logistics Co,Nagoya Airport,Chennai Port,1539,1/8/2026 14:39,1/15/2026 14:39,1/14/2026 14:39,Sea Freight,Delivered
PROD-328838,Osaka Freight Corp,Tokyo Port,Chennai Port,446,7/3/2025 8:02,7/14/2025 8:02,7/14/2025 8:02,Air Cargo,Delivered
PROD-612554,Nagoya Auto Parts,Nagoya Airport,Chennai Port,2471,7/1/2025 22:47,7/6/2025 22:47,7/6/2025 22:47,Sea Freight,Delivered
PROD-964047,Nagoya Auto Parts,Osaka Port,Bengaluru Hub,3677,12/2/2025 5:06,12/13/2025 5:06,12/21/2025 5:06,Sea Freight,Delayed
PROD-165080,Nagoya Auto Parts,Osaka Port,Chennai Port,1915,4/18/2026 12:26,4/26/2026 12:26,4/25/2026 12:26,Air Cargo,Delivered
PROD-532496,Kyoto Tech Components,Osaka Port,Chennai Port,1309,7/1/2025 20:17,7/8/2025 20:17,7/12/2025 20:17,Sea Freight,Delayed
PROD-194851,Kyoto Tech Components,Tokyo Port,Bengaluru Hub,4147,7/10/2025 7:56,7/16/2025 7:56,7/22/2025 7:56,Air Cargo,Delayed
PROD-71262,Osaka Freight Corp,Osaka Port,Bengaluru Hub,3702,7/6/2025 2:20,7/20/2025 2:20,7/19/2025 2:20,Sea Freight,Delivered
PROD-246629,Tokyo Logistics Co,Osaka Port,Bengaluru Hub,2642,2/12/2026 16:27,2/24/2026 16:27,2/23/2026 16:27,Air Cargo,Delivered
PROD-987335,Tokyo Logistics Co,Tokyo Port,Chennai Port,3890,11/5/2025 13:06,11/17/2025 13:06,11/25/2025 13:06,Express Road,Delayed
PROD-258175,Nagoya Auto Parts,Yokohama Port,Chennai Port,3996,5/2/2026 5:44,5/15/2026 5:44,5/13/2026 5:44,Express Road,Delivered
PROD-41672,Osaka Freight Corp,Tokyo Port,Bengaluru Hub,420,1/8/2026 12:22,1/15/2026 12:22,1/14/2026 12:22,Sea Freight,Delivered
PROD-439589,Kyoto Tech Components,Osaka Port,Chennai Port,2417,1/23/2026 7:03,2/4/2026 7:03,2/2/2026 7:03,Air Cargo,Delivered
PROD-592683,Osaka Freight Corp,Tokyo Port,Chennai Port,874,2/6/2026 4:04,2/17/2026 4:04,2/15/2026 4:04,Express Road,Delivered
PROD-980110,Kyoto Tech Components,Osaka Port,Bengaluru Hub,4873,12/19/2025 0:17,1/3/2026 0:17,1/2/2026 0:17,Express Road,Delivered
PROD-702258,Nagoya Auto Parts,Yokohama Port,Bengaluru Hub,2636,9/14/2025 7:30,9/21/2025 7:30,9/20/2025 7:30,Express Road,Delivered
PROD-250280,Tokyo Logistics Co,Nagoya Airport,Chennai Port,249,2/27/2026 15:40,3/10/2026 15:40,3/9/2026 15:40,Air Cargo,Delivered
PROD-137235,Nagoya Auto Parts,Yokohama Port,Bengaluru Hub,1226,9/16/2025 2:00,9/25/2025 2:00,10/1/2025 2:00,Sea Freight,Delayed
PROD-314569,Tokyo Logistics Co,Osaka Port,Bengaluru Hub,4992,2/11/2026 9:34,2/17/2026 9:34,2/17/2026 9:34,Air Cargo,Delivered
PROD-974146,Tokyo Logistics Co,Nagoya Airport,Chennai Port,2045,11/25/2025 1:37,12/2/2025 1:37,12/7/2025 1:37,Air Cargo,Delayed
PROD-76066,Kyoto Tech Components,Yokohama Port,Chennai Port,3942,3/12/2026 16:21,3/26/2026 16:21,3/24/2026 16:21,Sea Freight,Delivered
PROD-651332,Nagoya Auto Parts,Osaka Port,Chennai Port,4219,6/14/2025 11:21,6/24/2025 11:21,6/22/2025 11:21,Express Road,Delivered
